epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1428,2.02228,1.36751,1.17995,0.28149,0.38776,0.30163,0.13632,2.07566,2.41751,1.60642,0.0004,0.0004,0.0004
2,155.88,2.03043,1.39503,1.14728,0.51239,0.24665,0.31203,0.11514,2.2688,2.90627,1.76604,0.000777274,0.000777274,0.000777274
3,240.898,2.13472,1.57787,1.22619,0.40186,0.33593,0.25208,0.10506,3.16524,4.0176,2.81984,0.00111078,0.00111078,0.00111078
4,330.154,2.15618,1.48743,1.19292,0.33468,0.2551,0.23688,0.10273,3.1836,6.45236,4.02248,0.00140052,0.00140052,0.00140052
5,421.705,2.17033,1.70639,1.34068,0.61477,0.14286,0.17055,0.0758,3.07949,4.63736,3.7493,0.00158316,0.00158316,0.00158316
6,511.802,2.19609,1.80252,1.30353,0.48149,0.14286,0.15486,0.06993,2.1654,2.66162,1.72761,0.00147895,0.00147895,0.00147895
7,602.511,2.21217,1.67216,1.21296,0.38373,0.17347,0.16868,0.07851,2.17741,2.78417,1.73093,0.00137474,0.00137474,0.00137474
8,682.57,2.09039,1.60157,1.19991,0.4624,0.19388,0.22754,0.09297,2.30131,3.38131,1.79057,0.00127053,0.00127053,0.00127053
9,756.617,2.06022,1.65653,1.21972,0.30473,0.2551,0.24355,0.09927,2.46678,2.87837,1.88724,0.00116632,0.00116632,0.00116632
10,826.156,2.12792,1.67039,1.26878,0.39607,0.22449,0.27361,0.11297,2.24904,2.44537,1.67433,0.00106211,0.00106211,0.00106211
11,896.483,2.11978,1.7207,1.33744,0.47713,0.29592,0.29871,0.12409,2.23983,2.17992,1.71996,0.000957895,0.000957895,0.000957895
12,968.889,2.08265,1.54732,1.28654,0.58226,0.30612,0.35214,0.13968,2.19517,2.01805,1.68303,0.000853684,0.000853684,0.000853684
13,1039.22,2.06251,1.42989,1.28413,0.5796,0.33673,0.37036,0.15577,2.04821,1.88875,1.5728,0.000749474,0.000749474,0.000749474
14,1109.34,1.98253,1.41388,1.27208,0.59478,0.2996,0.34366,0.15652,2.09533,1.94427,1.62167,0.000645263,0.000645263,0.000645263
